Pond,AGRY,AMAC,AMAB,AMEA,AOPA,ATAL,BTER,BQUE,GCAR,HCHR,HCIN,HFEM,HSQU,NVIR,PCRU,PNIG,POCU,PORN,PVAR,RCAT,RCLA,RSPH,RVIR,SHOL,SINR
63,1,0,0,0,0,0,1,0,3,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0
67,0,0,1,0,2,7,3,0,4,0,0,4,0,1,0,0,2,0,1,0,0,10,0,0,0
103,50,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,1,0,0,8,1,10,15,0,1
104,0,0,0,1,1,0,9,0,15,0,0,8,0,0,0,0,6,0,2,0,2,1,0,1,1
105,0,0,0,0,0,0,2,0,6,1,0,150,0,0,0,0,50,0,0,0,3,6,0,0,0
112,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,4,6,0,0,0,8,10,3,0,0
164,1,0,0,0,0,0,13,0,0,0,0,1,0,0,1,1,6,0,0,0,5,1,0,0,0
175,18,0,0,0,0,5,54,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
176,0,0,0,0,0,0,1,1,2,0,0,3,2,0,0,4,6,0,1,0,0,5,0,0,0
180,1,0,0,0,0,0,1,0,2,0,1,13,4,0,0,0,11,2,0,0,1,4,0,0,0
181,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,0
182,0,0,0,0,0,0,4,0,0,0,0,17,1,0,0,2,1,0,0,0,0,0,0,0,0
202,0,0,3,0,0,0,4,0,0,0,1,2,3,1,15,2,9,0,0,0,0,23,0,0,0
213,0,24,0,0,16,4,4,0,30,60,25,0,20,3,15,0,30,0,1,0,8,3,0,0,0
215,0,0,0,1,0,0,1,0,18,2,3,4,0,0,1,0,6,0,1,0,1,119,0,0,0
